DATASET_EN,DATASET_TC,NAME_EN,NAME_TC,ADDRESS_EN,ADDRESS_TC,SEARCH01_EN,SEARCH01_TC,SEARCH02_EN,SEARCH02_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,Title,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,Latitude,Longitude,LASTUPDATE,NORTHING,EASTING,GeometryEasting,GeometryNorthing
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F.(PORTION), 1/F.-3/F., HALESON BUILDING, 1 JUBILEE STREET, CENTRAL, HONG KONG","香港中環 租庇利街1號 喜訊大廈地下(部份), 1-3樓",Central/Western,中西區,2213180074,2213180074,18,18,RL,RL,TREASURE LAKE SEAFOOD RESTAURANT,寶湖海鮮酒家,,,22/10/2025,22/10/2025,22.2841437,114.1548504,16/10/2024,816140.0670814975,833998.3169605883,833998.3169999998,816140.0670999996
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"SHOP 501, 5/F., CITIC TOWER, 1 TIM MEI AVENUE, ADMIRALTY, HONG KONG",香港金鐘添美道1號 中信大廈5樓501號舖,Central/Western,中西區,2213149484,2213149484,18,18,RL,RL,Victoria City Restaurant,海都酒家,#G,#G,26/8/2025,26/8/2025,22.2806658,114.1672514,16/8/2024,815754.8112296296,835276.2806704852,835276.2807,815754.8112000003
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"1/F, YAT CHAU INTERNATIONAL PLAZA, 118 CONNAUGHT ROAD WEST, WESTERN, HONG KONG",香港干諾道西118號 一洲國際廣場1字樓,Central/Western,中西區,2214134555,2214134555,18,18,RL,RL,SAI YING PUN HO CHOI SEAFOOD RESTAURANT,西營盤好彩海鮮酒家,,,4/3/2026,4/3/2026,22.2882441,114.1445856,17/2/2025,816594.3115823326,832940.5723044133,832940.5723000001,816594.3115999997
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"LG2(PTN), L4(PTN), L5 & L7(PTN), HK MARROTT HOTEL, PACIFIC PLACE, 88 QUEENSWAY, CENTRAL, HONG KONG",香港金鐘道88號 太古廣場香港萬豪酒店 LG2(部份)，L4(部份)，L5及L7(部份）,Central/Western,中西區,2213084262,2213084262,18,18,RL,RL,MARRIOTT HK HOTEL,香港萬豪酒店,#F#G#H,#F#G#H,30/6/2025,30/6/2025,22.277509,114.166341,27/6/2024,815405.2519403895,835182.4326,835182.4326,815405.2519000005
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F, HEALTHY VILLAGE PHASE 2, 668 KING'S ROAD, NORTH POINT, HONG KONG",香港北角 英皇道668號 健康村第2期地下,Eastern,東區,2211157892,2211157892,11,11,RL,RL,富港酒家,富港酒家,,,11/4/2025,11/4/2025,22.2916175,114.2060071,19/3/2024,816967.7984638283,839270.1233929237,839270.1233999999,816967.7984999996
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"GROUND FLOOR, 27 MEI KING STREET, TOKWAWAN, KOWLOON CITY, KOWLOON",九龍土瓜灣美景街27號地下,Kowloon City,九龍城區,2252100488,2252100488,52,52,RL,RL,四方正宗重慶麻辣火鍋,四方正宗重慶麻辣火鍋,,,30/6/2025,30/6/2025,22.3165882,114.1905185,30/4/2024,819732.6893062511,837673.7759891533,837673.7759999996,819732.6893000007
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F,2/F,3/F & 14/F, PORTION OF 1ST BASEMENT AND THE OUTSIDE SEATING ACCOMMODATION, REGAL ORIENTAL HOTEL, 30-38 SA PO ROAD, KOWLOON CITY, KOWLOON","九龍城沙埔道30-38號地庫1樓部份, 地下, 2 樓, 3樓及14樓與露天座位",Kowloon City,九龍城區,2252078532,2252078532,52,52,RL,RL,Regal Oriental Hotel,富豪東方酒店,#A,#A,30/6/2025,30/6/2025,22.330007,114.1930278,10/7/2024,821218.6421974357,837932.1532418032,837932.1531999996,821218.6422000006
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"B1/F (PTN) G/F & 1/F, 20 TAK FUNG ST, HUNGHOM, KOWLOON CITY, KOWLOON","九龍紅磡德豐街20號 地庫1樓部份, 地下及1樓",Kowloon City,九龍城區,2252191125,2252191125,52,52,RL,RL,Harbour Grand Kowloon,九龍海逸君綽酒店,#F#G#H,#F#G#H,24/11/2025,24/11/2025,22.302697,114.1923311,25/11/2024,818194.4715803241,837860.6887890415,837860.6887999997,818194.4715999998
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F, 73 NAM KOK ROAD, KOWLOON CITY, KOWLOON",九龍九龍城南角道73號地下,Kowloon City,九龍城區,2252064186,2252064186,52,52,RL,RL,厚福館海鮮火鍋,厚福館海鮮火鍋,#F#G,#F#G,30/6/2025,30/6/2025,22.324165,114.1659176,14/5/2024,820571.6806337207,835139.1703225137,835139.1703000003,820571.6806000005
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"PORTION OF SHOP 401, 4/F, KOWLOON CITY PLAZA, 128 CARPENTER ROAD, KOWLOON CITY, KOWLOON",九龍賈炳達道128號 九龍城廣場4樓 401號舖(部份),Kowloon City,九龍城區,2252184655,2252184655,52,52,RL,RL,Fook Yuen Seafood Restaurant,馥苑海鮮酒家,#G#H,#G#H,28/9/2025,28/9/2025,22.330988,114.188216,13/9/2024,821327.2277318863,837436.4257136497,837436.4256999996,821327.2277000006
